HAUL_ID,EST_NUM_PERM3,log10_EST_NUM_PERM3,BOTTOM_DEPTH,CRUISE,DAY,GEAR_NAME,GMT_DATE_TIME_TXT,HAUL_PERFORMANCE,LAT,LON,MAX_GEAR_DEPTH,MESH,MONTH,STATION_NAME,VOLUME_FILTERED,YEAR,TAXA
1AR09 4 2 20BON 1,646.119,2.810984151,66,1AR09,12,20BON,6/12/2009 2:48,GOOD,56.96867,-164.7085,60,153,6,4,8.96667,2009,Pseudocalanus spp.
1AR09 6 2 20BON 1,476.6743,2.679131876,64,1AR09,14,20BON,6/14/2009 3:30,GOOD,57.40217,-165.83817,60,153,6,6,11.45716,2009,Pseudocalanus spp.
1DY10 10 2 20BON 1,286.4901,2.458622894,75,1DY10,28,20BON,4/28/2010 12:55,GOOD,56.77083,-164.35584,67,153,4,10,17.5845,2010,Pseudocalanus spp.
1DY10 11 2 20BON 1,189.9558,2.280932854,77,1DY10,28,20BON,4/28/2010 15:45,GOOD,56.66783,-163.86417,70,153,4,11,19.20448,2010,Pseudocalanus spp.
1DY10 12 2 20BON 1,132.0803,2.124113771,72,1DY10,28,20BON,4/28/2010 17:55,GOOD,56.93933,-163.83501,64,153,4,12,14.26825,2010,Pseudocalanus spp.
1DY10 16 2 20BON 1,191.2882,2.283952634,72,1DY10,1,20BON,5/1/2010 8:21,GOOD,56.8985,-164.03867,66,153,5,16,11.71008,2010,Pseudocalanus spp.
1DY10 8 5 CALVET 1,0,0,73,1DY10,28,CALVET,4/28/2010 5:08,GOOD,56.872,-164.04367,60,53,4,8,4.86343,2010,Pseudocalanus spp.
1DY10 8 6 CALVET 2,0,0,73,1DY10,28,CALVET,4/28/2010 5:30,GOOD,56.869,-164.04283,60,53,4,8,2.98726,2010,Pseudocalanus spp.
1DY10 8 8 20BON 1,168.7479,2.22980441,73,1DY10,28,20BON,4/28/2010 6:14,GOOD,56.87333,-164.0555,66,153,4,8,15.69205,2010,Pseudocalanus spp.
1DY10 9 2 20BON 1,171.2479,2.236153936,70,1DY10,28,20BON,4/28/2010 9:33,GOOD,57.01667,-164.22067,60,153,4,9,16.51011,2010,Pseudocalanus spp.
1DY11 17 2 20BON 1,147.4129,2.171471651,72,1DY11,22,20BON,5/22/2011 9:19,GOOD,59.3415,-170.64333,72,153,5,17,49.49366,2011,Pseudocalanus spp.
1DY11 19 3 20BON 1,83.0658,1.92461935,69,1DY11,22,20BON,5/22/2011 12:42,GOOD,59.10517,-170.24884,64,153,5,19,50.08074,2011,Pseudocalanus spp.
1DY11 21 2 20BON 1,112.9969,2.056893041,73,1DY11,22,20BON,5/22/2011 15:48,GOOD,58.77783,-170.29266,66,153,5,21,36.02223,2011,Pseudocalanus spp.
1DY11 23 2 20BON 1,76.1259,1.887200245,75,1DY11,22,20BON,5/22/2011 18:53,GOOD,58.4535,-170.185,68,153,5,23,51.28339,2011,Pseudocalanus spp.
1DY11 25 2 20BON 1,139.1846,2.146700307,73,1DY11,22,20BON,5/22/2011 22:45,GOOD,58.14417,-169.91716,66,153,5,25,57.01774,2011,Pseudocalanus spp.
1DY11 27 2 20BON 1,56.2441,1.757730732,70,1DY11,23,20BON,5/23/2011 1:58,GOOD,57.9095,-169.506,64,153,5,27,49.78305,2011,Pseudocalanus spp.
1DY11 28 2 20BON 1,40.1865,1.614754887,70,1DY11,23,20BON,5/23/2011 4:30,GOOD,57.9185,-169.01199,65,153,5,28,46.08506,2011,Pseudocalanus spp.
1DY11 29 2 20BON 1,71.4222,1.859871713,67,1DY11,23,20BON,5/23/2011 6:34,GOOD,57.73817,-169.12616,60,153,5,29,37.78462,2011,Pseudocalanus spp.
1DY11 30 2 20BON 1,62.9583,1.805896912,73,1DY11,23,20BON,5/23/2011 8:49,GOOD,57.602,-168.6915,67,153,5,30,51.58972,2011,Pseudocalanus spp.
1DY11 31 3 20BON 1,130.6584,2.119448573,73,1DY11,23,20BON,5/23/2011 10:44,GOOD,57.77217,-168.6575,65,153,5,31,56.81989,2011,Pseudocalanus spp.
1DY11 32 2 CALVET 1,0,0,73,1DY11,23,CALVET,5/23/2011 12:25,GOOD,57.83017,-168.88083,66,53,5,32,19.24832,2011,Pseudocalanus spp.
1DY11 32 3 CALVET 1,0,0,73,1DY11,23,CALVET,5/23/2011 12:50,GOOD,57.832,-168.885,65,53,5,32,16.57876,2011,Pseudocalanus spp.
1DY11 32 4 CALVET 1,0,0,72,1DY11,23,CALVET,5/23/2011 13:13,GOOD,57.833,-168.88583,65,53,5,32,17.13618,2011,Pseudocalanus spp.
1DY11 32 5 20BON 1,83.6869,1.927816236,73,1DY11,23,20BON,5/23/2011 13:26,GOOD,57.83317,-168.88567,66,153,5,32,45.88533,2011,Pseudocalanus spp.
1DY11 36 2 20BON 1,211.9273,2.328231347,73,1DY11,24,20BON,5/24/2011 20:09,GOOD,57.5305,-168.3045,66,153,5,36,28.0851,2011,Pseudocalanus spp.
1DY11 38 2 20BON 1,68.0056,1.838884336,73,1DY11,24,20BON,5/24/2011 23:29,GOOD,57.50834,-167.661,66,153,5,38,53.6427,2011,Pseudocalanus spp.
1DY11 40 2 20BON 1,76.4433,1.888983851,71,1DY11,25,20BON,5/25/2011 2:36,GOOD,57.521,-167.0325,65,153,5,40,67.81494,2011,Pseudocalanus spp.
1DY11 42 2 20BON 1,84.0138,1.929489429,69,1DY11,25,20BON,5/25/2011 6:02,GOOD,57.44033,-166.5125,63,153,5,42,70.84558,2011,Pseudocalanus spp.
1DY11 44 2 20BON 1,119.1187,2.079610623,70,1DY11,25,20BON,5/25/2011 11:00,GOOD,57.32667,-165.99333,64,153,5,44,69.13,2011,Pseudocalanus spp.
1DY11 46 2 20BON 1,106.679,2.032131014,74,1DY11,25,20BON,5/25/2011 17:10,GOOD,57.1065,-165.61217,64,153,5,46,83.39037,2011,Pseudocalanus spp.
1DY11 48 2 20BON 1,206.1791,2.316345942,75,1DY11,25,20BON,5/25/2011 21:17,GOOD,56.86283,-165.11617,68,153,5,48,45.94063,2011,Pseudocalanus spp.
1DY11 51 2 20BON 1,489.8915,2.690985512,74,1DY11,26,20BON,5/26/2011 4:15,GOOD,56.76817,-164.32617,70,153,5,51,48.59851,2011,Pseudocalanus spp.
1DY11 52 2 20BON 2,269.763,2.432589317,69,1DY11,26,20BON,5/26/2011 6:45,GOOD,57.01933,-164.20551,64,153,5,52,66.6659,2011,Pseudocalanus spp.
1DY11 53 2 CALVET 1,0,0,72,1DY11,26,CALVET,5/26/2011 8:43,GOOD,56.9,-164.05034,64,53,5,53,11.49124,2011,Pseudocalanus spp.
1DY11 53 3 CALVET 1,0,0,71,1DY11,26,CALVET,5/26/2011 9:24,GOOD,56.90633,-164.0435,65,53,5,53,14.0349,2011,Pseudocalanus spp.
1DY11 53 4 CALVET 1,0,0,72,1DY11,26,CALVET,5/26/2011 9:53,GOOD,56.90983,-164.04067,65,53,5,53,13.825,2011,Pseudocalanus spp.
1DY11 53 5 20BON 1,263.1814,2.421902237,72,1DY11,26,20BON,5/26/2011 10:04,GOOD,56.91267,-164.036,66,153,5,53,31.61318,2011,Pseudocalanus spp.
1DY11 54 2 20BON 1,387.1127,2.588957854,71,1DY11,26,20BON,5/26/2011 11:48,GOOD,56.94767,-163.82266,65,153,5,54,31.0814,2011,Pseudocalanus spp.
1DY11 55 2 20BON 1,673.999,2.829303129,77,1DY11,26,20BON,5/26/2011 14:22,GOOD,56.67216,-163.85651,71,153,5,55,7.16915,2011,Pseudocalanus spp.
1DY12 64 2 20BON 1,381.8973,2.583082304,77,1DY12,8,20BON,5/8/2012 9:06,GOOD,56.66217,-163.8588,67,153,5,64,13.40674,2012,Pseudocalanus spp.
1DY12 66 3 20BON 1,171.3516,2.236415319,73,1DY12,8,20BON,5/8/2012 13:22,GOOD,56.86067,-164.0747,60,153,5,66,13.44604,2012,Pseudocalanus spp.
1DY12 66 5 CALVET 1,0,0,73,1DY12,8,CALVET,5/8/2012 15:45,GOOD,56.85883,-164.0735,64,53,5,66,0.47472,2012,Pseudocalanus spp.
1DY12 66 6 CALVET 2,0,0,74,1DY12,8,CALVET,5/8/2012 16:00,GOOD,56.85883,-164.0712,64,53,5,66,1.80876,2012,Pseudocalanus spp.
1DY12 67 2 20BON 1,0.5721,0.196480168,74,1DY12,8,20BON,5/8/2012 23:36,GOOD,56.76717,-164.3328,65,153,5,67,15.73287,2012,Pseudocalanus spp.
1DY12 68 2 20BON 1,82.701,1.922730647,69,1DY12,9,20BON,5/9/2012 1:59,GOOD,57.022,-164.2222,66,153,5,68,11.1244,2012,Pseudocalanus spp.
1HE07 10 1 20BON 1,57.7525,1.769026351,73,1HE07,12,20BON,4/12/2007 20:47,GOOD,56.83383,-164.31,72,153,4,10,10.90861,2007,Pseudocalanus spp.
1HE07 115 2 20BON 1,425.7762,2.630200192,70,1HE07,26,20BON,4/26/2007 4:49,GOOD,58.13,-168.97,70,153,4,115,13.37792,2007,Pseudocalanus spp.
1HE07 12 2 20BON 1,48.1055,1.691130137,72,1HE07,13,20BON,4/13/2007 1:25,GOOD,56.9045,-164.84567,68,153,4,12,11.80737,2007,Pseudocalanus spp.
1HE07 135 3 20BON 1,138.9976,2.146120591,78,1HE07,29,20BON,4/29/2007 17:50,GOOD,58.45717,-170.72034,70,153,4,135,13.81317,2007,Pseudocalanus spp.
1HE07 14 2 20BON 1,74.0929,1.875598877,72,1HE07,13,20BON,4/13/2007 4:41,GOOD,56.99533,-165.38733,69,153,4,14,8.39486,2007,Pseudocalanus spp.
1HE07 16 2 20BON 1,47.7595,1.688059244,70,1HE07,13,20BON,4/13/2007 8:07,GOOD,57.26217,-165.763,64,153,4,16,7.68435,2007,Pseudocalanus spp.
1HE07 18 2 20BON 1,95.0843,1.982652431,70,1HE07,13,20BON,4/13/2007 11:21,GOOD,57.3325,-166.34,65,153,4,18,10.83249,2007,Pseudocalanus spp.
1HE07 198 2 V60BON 1,437.0608,2.641534392,72,1HE07,9,V60BON,5/9/2007 1:29,GOOD,58.94567,-170.34616,70,153,5,198,18.30409,2007,Pseudocalanus spp.
1HE07 198 2 V60BON 2,0,0,72,1HE07,9,V60BON,5/9/2007 1:29,GOOD,58.94567,-170.34616,70,333,5,198,19.60137,2007,Pseudocalanus spp.
1HE07 20 2 20BON 1,107.0308,2.033547592,70,1HE07,13,20BON,4/13/2007 14:43,GOOD,57.421,-166.80983,65,153,4,20,9.24968,2007,Pseudocalanus spp.
1HE07 201 2 20BON 1,71.867,1.86253089,99,1HE07,9,20BON,5/9/2007 14:33,GOOD,57.40717,-171.31934,89,153,5,201,11.09457,2007,Pseudocalanus spp.
1HE07 204 2 20BON 1,85.6732,1.937884831,72,1HE07,10,20BON,5/10/2007 0:02,GOOD,57.82833,-168.85217,70,153,5,204,12.99537,2007,Pseudocalanus spp.
1HE07 207 2 20BON 1,136.0334,2.136826433,70,1HE07,10,20BON,5/10/2007 10:24,GOOD,57.3285,-166.31567,66,153,5,207,10.52683,2007,Pseudocalanus spp.
1HE07 211 2 20BON 1,186.9091,2.273947812,76,1HE07,10,20BON,5/10/2007 22:20,GOOD,56.70933,-164.51083,71,153,5,211,11.81324,2007,Pseudocalanus spp.
1HE07 22 2 20BON 1,258.1379,2.413530935,71,1HE07,13,20BON,4/13/2007 18:45,GOOD,57.49683,-167.35451,67,153,4,22,11.30146,2007,Pseudocalanus spp.
1HE07 26 2 20BON 1,362.4376,2.560429856,71,1HE07,14,20BON,4/14/2007 2:19,GOOD,57.526,-168.618,68,153,4,26,11.4072,2007,Pseudocalanus spp.
1HE07 28 2 20BON 1,221.6972,2.347714757,71,1HE07,14,20BON,4/14/2007 5:36,GOOD,57.797,-168.86684,68,153,4,28,8.23775,2007,Pseudocalanus spp.
1HE07 29 4 20BON 1,246.6629,2.393860954,71,1HE07,14,20BON,4/14/2007 8:33,GOOD,57.85567,-168.931,68,153,4,29,14.08887,2007,Pseudocalanus spp.
1HE07 31 2 20BON 1,347.7318,2.542491551,73,1HE07,14,20BON,4/14/2007 17:28,GOOD,58.04617,-169.67284,69,153,4,31,12.1703,2007,Pseudocalanus spp.
1HE07 34 2 20BON 1,405.5128,2.609074225,72,1HE07,14,20BON,4/14/2007 21:49,GOOD,58.29517,-170.12784,69,153,4,34,11.36339,2007,Pseudocalanus spp.
1HE07 38 2 20BON 1,982.292,2.992682506,72,1HE07,15,20BON,4/15/2007 5:34,GOOD,58.94983,-170.32733,69,153,4,38,11.23902,2007,Pseudocalanus spp.
1MF99 24 1 20BON 1,218.3541,2.341145756,95,1MF99,15,20BON,4/15/1999 22:41,GOOD,56.16167,-165.16721,89,153,4,24,13.92234,1999,Pseudocalanus spp.
1MF99 42 1 20BON 1,307.8138,2.489696699,82,1MF99,17,20BON,4/17/1999 19:41,GOOD,56.52433,-164.01601,75,153,4,42,15.59384,1999,Pseudocalanus spp.
1MF99 43 1 20BON 1,404.7301,2.608237228,76,1MF99,17,20BON,4/17/1999 20:58,GOOD,56.7275,-163.87399,70,153,4,43,11.3063,1999,Pseudocalanus spp.
1MF99 44 1 20BON 1,227.275,2.358458351,73,1MF99,17,20BON,4/17/1999 23:02,GOOD,56.87433,-164.054,68,153,4,44,10.84149,1999,Pseudocalanus spp.
1MF99 45 1 20BON 1,197.6556,2.298100812,70,1MF99,18,20BON,4/18/1999 0:34,GOOD,57.0175,-164.21401,65,153,4,45,14.48985,1999,Pseudocalanus spp.
1OM06 10 1 20BON 1,872.7327,2.94137859,71,1OM06,23,20BON,6/23/2006 11:40,GOOD,56.99833,-167.006,61,153,6,10,9.67994,2006,Pseudocalanus spp.
1OM06 11 1 20BON 1,2440.0749,3.387581105,79,1OM06,23,20BON,6/23/2006 15:45,GOOD,57.0015,-167.99634,70,153,6,11,5.6654,2006,Pseudocalanus spp.
1OM06 12 1 CALVET 1,0,0,76,1OM06,23,CALVET,6/23/2006 21:30,GOOD,56.99917,-169.002,60,53,6,12,5.31214,2006,Pseudocalanus spp.
1OM06 12 2 20BON 1,2561.1482,3.408604247,70,1OM06,23,20BON,6/23/2006 21:45,GOOD,56.99917,-169.002,65,153,6,12,11.79471,2006,Pseudocalanus spp.
1OM06 15 1 MBT 1,0,0,100,1OM06,24,MBT,6/24/2006 7:50,GOOD,56.4995,-169.02367,90,3000,6,15,7377.13672,2006,Pseudocalanus spp.
1OM06 15 2 20BON 1,2261.249,3.354540405,102,1OM06,24,20BON,6/24/2006 9:58,GOOD,56.49567,-168.993,90,153,6,15,21.73666,2006,Pseudocalanus spp.
1OM06 4 1 20BON 1,1040.8708,3.017813866,85,1OM06,22,20BON,6/22/2006 11:25,GOOD,56.5165,-165.99617,75,153,6,4,4.67301,2006,Pseudocalanus spp.
1OM06 5 1 CALVET 1,0,0,71,1OM06,22,CALVET,6/22/2006 14:49,GOOD,56.9995,-165.98767,60,53,6,5,3.85995,2006,Pseudocalanus spp.
1OM06 5 2 20BON 1,974.4702,2.989214007,71,1OM06,22,20BON,6/22/2006 15:00,GOOD,56.99917,-165.9855,60,153,6,5,8.40662,2006,Pseudocalanus spp.
1OM06 6 1 20BON 1,845.4426,2.927597513,63,1OM06,22,20BON,6/22/2006 18:10,GOOD,57.50067,-165.99916,55,153,6,6,12.112,2006,Pseudocalanus spp.
1OM06 8 1 20BON 1,650.5894,2.813974011,70,1OM06,23,20BON,6/23/2006 3:47,GOOD,57.4985,-166.98767,60,153,6,8,9.98479,2006,Pseudocalanus spp.
1OM06 9 1 CALVET 1,0,0,68,1OM06,23,CALVET,6/23/2006 7:20,GOOD,57.494,-167.99167,60,53,6,9,4.18839,2006,Pseudocalanus spp.
1OM06 9 2 20BON 1,1338.4662,3.126931759,68,1OM06,23,20BON,6/23/2006 7:30,GOOD,57.494,-167.99167,60,153,6,9,10.32824,2006,Pseudocalanus spp.
1TT06 100 2 20BON 1,143.4931,2.159847109,67,1TT06,9,20BON,5/9/2006 3:56,GOOD,58.0015,-167.35133,57,153,5,100,10.11895,2006,Pseudocalanus spp.
1TT06 101 2 20BON 1,149.1237,2.17644926,69,1TT06,9,20BON,5/9/2006 5:30,GOOD,57.86983,-167.54083,61,153,5,101,10.30017,2006,Pseudocalanus spp.
1TT06 102 2 20BON 1,153.6116,2.189242074,69,1TT06,9,20BON,5/9/2006 7:01,GOOD,57.73717,-167.67133,61,153,5,102,10.72836,2006,Pseudocalanus spp.
1TT06 103 2 20BON 1,135.7317,2.135869213,71,1TT06,9,20BON,5/9/2006 8:40,GOOD,57.6065,-167.83983,62,153,5,103,10.34394,2006,Pseudocalanus spp.
1TT06 104 2 20BON 1,378.9337,2.579707817,73,1TT06,9,20BON,5/9/2006 10:28,GOOD,57.451,-168.00284,64,153,5,104,11.52708,2006,Pseudocalanus spp.
1TT06 105 2 20BON 1,870.0029,2.940019601,76,1TT06,9,20BON,5/9/2006 12:11,GOOD,57.31816,-168.16901,67,153,5,105,9.63675,2006,Pseudocalanus spp.
1TT06 106 2 20BON 1,1247.1711,3.096274123,80,1TT06,9,20BON,5/9/2006 14:45,GOOD,57.101,-168.34967,71,153,5,106,12.21324,2006,Pseudocalanus spp.
1TT06 107 2 20BON 1,988.9991,2.9956348,100,1TT06,9,20BON,5/9/2006 17:13,GOOD,56.8295,-168.52966,91,153,5,107,16.82509,2006,Pseudocalanus spp.
1TT06 108 2 20BON 1,354.4216,2.550743818,112,1TT06,9,20BON,5/9/2006 19:13,GOOD,56.62,-168.71066,104,153,5,108,21.39825,2006,Pseudocalanus spp.
1TT06 13 2 20BON 1,236.4519,2.375575649,70,1TT06,18,20BON,4/18/2006 23:00,GOOD,57.65317,-169.02234,59,153,4,13,10.21773,2006,Pseudocalanus spp.
1TT06 15 4 CALVET 1,0,0,72,1TT06,19,CALVET,4/19/2006 5:52,GOOD,57.81967,-168.81683,67,53,4,15,5.59552,2006,Pseudocalanus spp.
1TT06 15 5 CALVET 1,0,0,72,1TT06,19,CALVET,4/19/2006 6:11,GOOD,57.8205,-168.81717,67,53,4,15,5.08293,2006,Pseudocalanus spp.
1TT06 17 2 20BON 1,229.3051,2.362303555,70,1TT06,19,20BON,4/19/2006 16:49,GOOD,58.26,-168.7665,59,153,4,17,8.79178,2006,Pseudocalanus spp.
1TT06 2 2 20BON 1,258.3052,2.413811226,72,1TT06,15,20BON,4/15/2006 22:49,GOOD,56.89933,-164.04401,62,153,4,2,13.72021,2006,Pseudocalanus spp.
1TT06 2 3 CALVET 1,0,0,71,1TT06,15,CALVET,4/15/2006 23:32,GOOD,56.89883,-164.04216,61,53,4,2,6.40868,2006,Pseudocalanus spp.
1TT06 2 4 CALVET 1,0,0,75,1TT06,15,CALVET,4/15/2006 23:55,GOOD,56.899,-164.04216,68,53,4,2,6.61398,2006,Pseudocalanus spp.
1TT06 2 5 CALVET 1,0,0,72,1TT06,16,CALVET,4/16/2006 0:14,GOOD,56.899,-164.04216,65,53,4,2,6.25752,2006,Pseudocalanus spp.
1TT06 20 2 20BON 1,207.6843,2.319489777,70,1TT06,20,20BON,4/20/2006 6:56,GOOD,58.26333,-168.89549,61,153,4,20,8.64774,2006,Pseudocalanus spp.
1TT06 21 2 20BON 1,138.8111,2.145541653,72,1TT06,20,20BON,4/20/2006 9:12,GOOD,58.16467,-169.13634,65,153,4,21,7.27608,2006,Pseudocalanus spp.
1TT06 25 2 20BON 1,253.9161,2.406397266,74,1TT06,21,20BON,4/21/2006 16:17,GOOD,57.86967,-169.93716,61,153,4,25,14.32494,2006,Pseudocalanus spp.
1TT06 26 2 20BON 2,136.6617,2.138813128,72,1TT06,21,20BON,4/21/2006 21:42,GOOD,57.935,-168.47333,62,153,4,26,9.3857,2006,Pseudocalanus spp.
1TT06 27 2 20BON 2,186.3756,2.272713037,71,1TT06,21,20BON,4/21/2006 23:38,GOOD,58.102,-168.47084,61,153,4,27,13.9074,2006,Pseudocalanus spp.
1TT06 28 2 20BON 2,149.5076,2.177558431,68,1TT06,22,20BON,4/22/2006 2:06,GOOD,58.2735,-168.51199,59,153,4,28,10.99074,2006,Pseudocalanus spp.
1TT06 29 2 20BON 2,288.2119,2.461216159,70,1TT06,22,20BON,4/22/2006 16:24,GOOD,58.59333,-170.0195,60,153,4,29,11.65809,2006,Pseudocalanus spp.
1TT06 31 2 20BON 1,521.0104,2.717679156,76,1TT06,23,20BON,4/23/2006 3:34,GOOD,58.39417,-170.39467,68,153,4,31,12.40666,2006,Pseudocalanus spp.
1TT06 33 2 20BON 1,198.1437,2.299166572,77,1TT06,23,20BON,4/23/2006 8:37,GOOD,58.21883,-170.036,68,153,4,33,13.00066,2006,Pseudocalanus spp.
1TT06 34 2 20BON 1,177.2817,2.251106767,78,1TT06,23,20BON,4/23/2006 10:20,GOOD,58.139,-170.40567,69,153,4,34,12.52996,2006,Pseudocalanus spp.
1TT06 35 2 20BON 1,275.3599,2.441475027,77,1TT06,23,20BON,4/23/2006 12:02,GOOD,58.053,-170.33434,67,153,4,35,13.88728,2006,Pseudocalanus spp.
1TT06 38 1 20BON 1,256.5483,2.410858688,76,1TT06,23,20BON,4/23/2006 17:44,GOOD,58.20083,-170.31351,66,153,4,38,13.27365,2006,Pseudocalanus spp.
1TT06 39 2 20BON 1,266.2234,2.426874485,86,1TT06,24,20BON,4/24/2006 0:49,GOOD,58.4435,-171.06101,76,153,4,39,13.01163,2006,Pseudocalanus spp.
1TT06 40 2 20BON 1,244.5573,2.390152849,92,1TT06,24,20BON,4/24/2006 5:14,GOOD,58.4045,-171.30917,83,153,4,40,14.19708,2006,Pseudocalanus spp.
1TT06 42 2 20BON 1,325.8012,2.514283643,96,1TT06,24,20BON,4/24/2006 8:30,GOOD,58.2975,-171.47316,87,153,4,42,13.84893,2006,Pseudocalanus spp.
1TT06 43 2 20BON 1,241.7173,2.385100732,98,1TT06,24,20BON,4/24/2006 10:22,GOOD,58.22833,-171.564,90,153,4,43,18.9974,2006,Pseudocalanus spp.
1TT06 44 2 20BON 1,174.2889,2.243754416,100,1TT06,24,20BON,4/24/2006 12:14,GOOD,58.16333,-171.67084,92,153,4,44,17.2587,2006,Pseudocalanus spp.
1TT06 45 2 20BON 1,149.0203,2.17615003,102,1TT06,24,20BON,4/24/2006 14:07,GOOD,58.09933,-171.76666,93,153,4,45,15.7473,2006,Pseudocalanus spp.
1TT06 47 2 20BON 1,347.0998,2.541703774,85,1TT06,24,20BON,4/24/2006 18:55,GOOD,58.39267,-171.0125,75,153,4,47,15.91857,2006,Pseudocalanus spp.
1TT06 52 2 20BON 1,283.8338,2.454591524,94,1TT06,27,20BON,4/27/2006 16:20,GOOD,58.688,-171.70383,84,153,4,52,18.00115,2006,Pseudocalanus spp.
1TT06 54 2 20BON 1,275.3068,2.441391573,90,1TT06,28,20BON,4/28/2006 0:55,GOOD,58.57917,-171.34166,80,153,4,54,15.34288,2006,Pseudocalanus spp.
1TT06 56 2 20BON 1,205.0175,2.313904113,100,1TT06,28,20BON,4/28/2006 7:48,GOOD,58.46733,-171.76016,92,153,4,56,20.83725,2006,Pseudocalanus spp.
1TT06 57 2 20BON 1,156.1149,2.196217373,102,1TT06,28,20BON,4/28/2006 9:41,GOOD,58.3645,-171.96617,92,153,4,57,20.03651,2006,Pseudocalanus spp.
1TT06 58 2 20BON 1,231.9608,2.367282849,105,1TT06,28,20BON,4/28/2006 11:35,GOOD,58.2655,-172.16884,96,153,4,58,15.51987,2006,Pseudocalanus spp.
1TT06 7 2 20BON 1,79.1663,1.90399184,55,1TT06,17,20BON,4/17/2006 2:21,GOOD,57.51534,-164.25301,43,153,4,7,12.73268,2006,Pseudocalanus spp.
1TT06 8 2 20BON 1,111.3893,2.050724966,66,1TT06,17,20BON,4/17/2006 5:36,GOOD,57.349,-164.24899,54,153,4,8,12.10169,2006,Pseudocalanus spp.
1TT06 91 5 20BON 1,239.7181,2.381508747,72,1TT06,7,20BON,5/7/2006 23:17,GOOD,58.0575,-168.73016,63,153,5,91,8.61011,2006,Pseudocalanus spp.
1TT06 92 2 20BON 1,230.8782,2.36525992,73,1TT06,8,20BON,5/8/2006 1:17,GOOD,57.9105,-168.88667,64,153,5,92,10.39509,2006,Pseudocalanus spp.
1TT06 93 2 20BON 1,249.3022,2.398464667,67,1TT06,8,20BON,5/8/2006 3:11,GOOD,57.7685,-169.0455,57,153,5,93,9.43433,2006,Pseudocalanus spp.
1TT06 94 2 20BON 1,240.3888,2.382717116,71,1TT06,8,20BON,5/8/2006 6:18,GOOD,57.57917,-169.22333,61,153,5,94,11.38157,2006,Pseudocalanus spp.
1TT06 95 2 20BON 1,296.0978,2.472899436,73,1TT06,8,20BON,5/8/2006 7:37,GOOD,57.47633,-169.3495,64,153,5,95,9.88863,2006,Pseudocalanus spp.
